,标准差,活动时长,中位数绝对偏差,四分位距,信息熵,最大值,最小值,差值,labels
NTX_2_NRX_1_Subcarrier_30,5.797028188557192,5942.0,2.220532720301877,4.804449358545563,-inf,30.119941511697874,-21.55834641151588,51.67828792321376,
NTX_2_NRX_2_Subcarrier_1,5.31477925179518,5942.0,2.770810316998297,5.549608341706504,8.640674784916756,35.79587378312043,0.35100010546606447,35.444873677654364,
NTX_2_NRX_2_Subcarrier_2,5.512173546668376,5942.0,2.9751174736533046,6.2704223042614196,-inf,32.12240915276277,-6.9609704329374384,39.08337958570021,
NTX_2_NRX_2_Subcarrier_3,5.751407884512511,5941.0,3.138106838179196,7.139404950699436,-inf,17.94213210555008,-22.504416962214837,40.44654906776492,
NTX_2_NRX_2_Subcarrier_4,6.027893658176251,5942.0,2.684653730923615,6.12129430374776,-inf,10.43430099839213,-28.837322043487855,39.271623041879984,
NTX_2_NRX_2_Subcarrier_5,5.340890584600451,5942.0,2.8372553696318548,5.911226710916292,-inf,5.795693475898355,-29.52674221576676,35.32243569166511,
NTX_2_NRX_2_Subcarrier_6,6.408478446767234,5942.0,3.4090070726923543,6.813897954502683,-inf,9.787885682260177,-33.224750991128126,43.0126366733883,
NTX_2_NRX_2_Subcarrier_7,6.316137180205957,5942.0,3.3569716956437143,7.03994233809331,-inf,17.418049228548764,-27.38966873439543,44.807717962944196,
NTX_2_NRX_2_Subcarrier_8,5.711167258826795,5942.0,2.361921612157923,5.713452296874289,-inf,17.351636789962104,-23.39682522939961,40.74846201936171,
NTX_2_NRX_2_Subcarrier_9,4.515650312933331,5941.0,2.0956217163739566,4.44840922105854,-inf,13.034072183280902,-22.390256761067263,35.42432894434816,
NTX_2_NRX_2_Subcarrier_10,4.072064286370072,5942.0,2.446153691408564,4.90689108396856,-inf,6.718264624315299,-26.402398663752557,33.12066328806785,
NTX_2_NRX_2_Subcarrier_11,7.018721866330944,5942.0,4.335022657196861,8.723880783578377,-inf,10.747654312026157,-33.00684320340716,43.754497515433314,
NTX_2_NRX_2_Subcarrier_12,6.650981815646202,5942.0,3.7630457836234976,7.3972943471258645,-inf,16.190518523033386,-34.582378194850726,50.77289671788411,
NTX_2_NRX_2_Subcarrier_13,5.048200260585174,5942.0,2.651253892430891,5.343369486640446,-inf,21.833025984748737,-17.918553564697323,39.75157954944606,
NTX_2_NRX_2_Subcarrier_14,5.054652795341697,5942.0,3.113730008887863,6.936333765500823,-inf,27.50782229913876,-3.1068820699725643,30.614704369111323,
NTX_2_NRX_2_Subcarrier_15,5.6555556843443116,5942.0,3.0669728187996625,7.798143362045671,-inf,32.80487539397651,-1.0288042028605306,33.83367959683704,
NTX_2_NRX_2_Subcarrier_16,6.5646009232839875,5942.0,2.8549424387526035,6.9154309634177515,-inf,40.06543105736996,-5.508205122159357,45.573636179529316,
NTX_2_NRX_2_Subcarrier_17,6.287650526738291,5942.0,2.7496149125671465,5.4883880686807345,-inf,39.77166761868611,-8.421279505212256,48.192947123898364,
NTX_2_NRX_2_Subcarrier_18,5.6763103885328645,5942.0,2.850293063692229,5.92043266141903,-inf,31.90614387823566,-8.688298303590866,40.59444218182652,
NTX_2_NRX_2_Subcarrier_19,5.913590823492602,5942.0,3.4399779763359497,7.408026678585766,-inf,20.749141356422516,-20.850887729985608,41.60002908640813,
NTX_2_NRX_2_Subcarrier_20,6.267465558556854,5942.0,3.331872647933448,7.830066215367807,-inf,13.406336537259325,-24.445079326029713,37.851415863289034,
NTX_2_NRX_2_Subcarrier_21,5.844293096844201,5942.0,2.9454318468058087,6.501642345765445,-inf,6.279662617330949,-29.817929732720582,36.09759235005153,
NTX_2_NRX_2_Subcarrier_22,5.848826467021282,5942.0,3.3563350233941556,6.697939474139066,-inf,12.370548184516494,-32.120187055406774,44.49073523992327,
NTX_2_NRX_2_Subcarrier_23,6.056527134704201,5942.0,3.00659517152289,6.012973980609565,-inf,18.817779213992978,-33.89296239336358,52.71074160735656,
NTX_2_NRX_2_Subcarrier_24,5.411373949475101,5942.0,2.444122196854634,5.26855553376954,-inf,19.797315245589026,-25.25708496516135,45.05440021075037,
NTX_2_NRX_2_Subcarrier_25,4.54953943932072,5942.0,2.4007124650421803,4.893381008570435,-inf,13.408893369106062,-18.914264883234367,32.32315825234043,
NTX_2_NRX_2_Subcarrier_26,4.48862750357577,5942.0,2.859802239883644,5.6767585802279,-inf,13.35130181338095,-22.695087251254,36.04638906463495,
NTX_2_NRX_2_Subcarrier_27,6.154855899061232,5942.0,3.778873770934595,7.582259644866529,-inf,13.35760523734931,-33.93872872981394,47.29633396716325,
NTX_2_NRX_2_Subcarrier_28,5.742342904742181,5942.0,3.4284841330764495,6.859824991118509,-inf,12.033659404016518,-29.034044344752417,41.067703748768935,
NTX_2_NRX_2_Subcarrier_29,4.801645861007169,5942.0,2.663225640572056,6.005475908384489,-inf,12.402298386774158,-18.072831953677262,30.47513034045142,
NTX_2_NRX_2_Subcarrier_30,4.435166779514852,5942.0,3.035067561730626,6.6018192475727115,-inf,16.695379855677327,-9.64059651951186,26.335976375189187,
NTX_2_NRX_3_Subcarrier_1,5.151220747596562,5942.0,3.35058188811907,6.654675485657007,-inf,5.627553819076514,-25.0580337592791,30.685587578355612,
NTX_2_NRX_3_Subcarrier_2,5.8717489431021885,5942.0,2.9536982651447836,6.169534520173084,8.647203270912511,-0.05145259691471213,-36.40990221507293,36.35844961815822,
NTX_2_NRX_3_Subcarrier_3,6.385044302618509,5942.0,4.038870603914276,8.525842876489019,-inf,8.685748799222592,-39.93098199654853,48.616730795771126,
NTX_2_NRX_3_Subcarrier_4,7.450248841041684,5942.0,4.634289410514992,8.799170121167409,-inf,19.555441575835747,-34.380594266270556,53.93603584210631,
NTX_2_NRX_3_Subcarrier_5,8.450108700192654,5942.0,4.313067402666324,8.547668163117198,-inf,24.260835915316118,-35.516981609425976,59.77781752474209,
NTX_2_NRX_3_Subcarrier_6,9.475550552796005,5942.0,4.613650908734899,10.452385678000962,-inf,26.358046860629802,-31.3003775938698,57.6584244544996,
NTX_2_NRX_3_Subcarrier_7,9.985908187275813,5942.0,4.781783873623489,13.398858018189749,-inf,30.209705314034878,-27.708836738193575,57.91854205222845,
NTX_2_NRX_3_Subcarrier_8,9.480764151521992,5942.0,5.186709260782454,14.027325568572714,-inf,29.811568086634857,-27.08686374153943,56.89843182817429,
NTX_2_NRX_3_Subcarrier_9,7.496820676373653,5942.0,4.599196582763044,10.292332556464086,-inf,22.37827595963276,-22.111669582510526,44.48994554214329,
NTX_2_NRX_3_Subcarrier_10,4.873382316921569,5942.0,3.187676863706373,6.406435973545781,-inf,18.471333164625715,-15.317341374458966,33.78867453908468,
NTX_2_NRX_3_Subcarrier_11,6.0486239472943195,5942.0,4.2486635833065165,8.478689310214152,-inf,21.01902292795542,-14.068431466948663,35.087454394904086,
NTX_2_NRX_3_Subcarrier_12,8.199500530203165,5942.0,4.780870129654833,11.794507837506753,-inf,30.776683240778933,-10.60501292957491,41.38169617035384,
NTX_2_NRX_3_Subcarrier_13,9.693984619133559,5942.0,5.71070196513941,14.439679903792921,-inf,39.43404257493526,-7.167648447668483,46.601691022603745,
NTX_2_NRX_3_Subcarrier_14,9.947651750828895,5942.0,6.561705826257791,14.530154486692169,-inf,42.19172192411214,-7.148124611288208,49.33984653540035,
NTX_2_NRX_3_Subcarrier_15,9.196729172923865,5942.0,5.830569654959763,11.95097351629272,-inf,39.29151106595017,-9.351950937064146,48.643462003014314,
NTX_2_NRX_3_Subcarrier_16,7.619635441182104,5942.0,3.918679578787927,7.92546337557868,-inf,32.35975301836165,-15.192823269864817,47.55257628822647,
NTX_2_NRX_3_Subcarrier_17,6.438581788615035,5942.0,3.113351048419015,6.213972831828763,-inf,21.568287388614845,-24.799649310639857,46.3679366992547,
NTX_2_NRX_3_Subcarrier_18,5.684642815579738,5942.0,3.060803473317595,6.067055702831551,-inf,14.428073426011125,-27.475835833156648,41.903909259167776,
NTX_2_NRX_3_Subcarrier_19,5.382525808924311,5942.0,3.022017544109456,6.155923232729101,-inf,5.694923327498186,-34.108208741410934,39.80313206890912,
NTX_2_NRX_3_Subcarrier_20,6.001040925074026,5942.0,3.2459663333102817,6.985469518070474,-inf,5.877029874931305,-35.85743536117322,41.734465236104526,
NTX_2_NRX_3_Subcarrier_21,7.116470579871555,5942.0,3.9505850566187863,8.265021206328646,-inf,12.44959659150975,-40.66363106872062,53.113227660230365,
NTX_2_NRX_3_Subcarrier_22,8.27253091885962,5942.0,4.937756811081463,11.357545560983251,-inf,19.223781860966014,-31.55730185859579,50.781083719561806,
NTX_2_NRX_3_Subcarrier_23,9.51878693733269,5942.0,5.321592279438304,14.891505744285881,-inf,21.667032707410307,-29.600321226009935,51.26735393342024,
NTX_2_NRX_3_Subcarrier_24,9.861514296517944,5942.0,4.902854349830194,15.04069377890784,-inf,25.04049804131091,-26.09641399458793,51.136912035898845,
NTX_2_NRX_3_Subcarrier_25,8.025524226153612,5942.0,4.508915947413441,10.691559168409055,-inf,24.799398605404544,-26.64456515356003,51.44396375896457,
NTX_2_NRX_3_Subcarrier_26,6.5394708426605765,5942.0,3.675547640302165,7.437639477346182,-inf,25.013035300844155,-26.908060112004705,51.92109541284886,
NTX_2_NRX_3_Subcarrier_27,7.667827947609756,5942.0,5.237177105110468,10.983389020339228,-inf,19.214521066126327,-27.500775140167995,46.715296206294326,
NTX_2_NRX_3_Subcarrier_28,9.700463383080635,5942.0,5.8742760224284964,16.12960316713164,-inf,29.15990826321135,-17.961290664484675,47.12119892769603,
NTX_2_NRX_3_Subcarrier_29,10.41445876035304,5942.0,5.573385623794021,15.862896038530796,-inf,36.78452555494538,-13.84544288362582,50.629968438571204,
NTX_2_NRX_3_Subcarrier_30,8.92298581191424,5942.0,5.017688072353193,12.93760719292952,-inf,36.84231878488299,-10.206333520699355,47.048652305582344,
NTX_3_NRX_1_Subcarrier_1,7.011735057417063,5942.0,2.9145422313624065,5.95298403704429,-inf,32.000146111014125,-17.892521381717422,49.89266749273155,
NTX_3_NRX_1_Subcarrier_2,8.258842786612655,5942.0,3.2975008522137434,7.065507660598426,-inf,43.33703773363658,-19.989711906804295,63.32674964044087,
NTX_3_NRX_1_Subcarrier_3,7.834753140282937,5942.0,3.113514740939084,6.767475848685581,-inf,37.325090223814975,-22.34160629782121,59.66669652163618,
